Region,Date,River Name,Location,Class,ph,Temperature,BOD (mg/L),DO (mg/L),Total Suspended Solids (mg/L),Chloride (mg/L),Phosphate (mg/L),Color (TCU),Fecal coliform (MPN/100mL),RiskLevel
7,2024,Argao River,Argao Bridge,B,7.995,26,5,6.36,376,20,0.131,6,65649,Moderate Risk
7,2024,Argao River,Argao Nat'l High School,B,8.05,26,3,8.07,309,23,0.101,6,47849,Moderate Risk
7,2024,Argao River,Jomgao Footbridge,A,8.429,26,3,7.81,305,17,0.1,6,31958,Low Risk
7,2024,Argao River,Usmad Bridge,A,8.367,26,3,7.92,190,11,0.068,5,51370,Low Risk
7,2024,Bagatayam River,Bagatayam Bridge,A,7.699,26,3,7.98,8,25,0.02,5,37606,Low Risk
7,2024,Bagatayam River,100m Upstream Bagatayam Bridge,A,7.454,26,2,7.95,9,20,0.023,5,10666,Low Risk
7,2024,Bagatayam River,200m Downstream Source,A,7.291,26,2,7.79,5,100,0.025,5,4369,Low Risk
7,2024,Bagatayam River,Source (Grotto),A,7.268,26,2,7.14,3,6,0.016,5,1039,Low Risk
7,2024,Bulacao River,50m Before Mouth Bulacao River,D,7.869,27,61,0.15,29,69,0.863,16,16384819,High Risk
7,2024,Bulacao River,Upper Torre Bridge,D,7.98,27,20,1.87,12,54,0.519,15,7010828,High Risk
7,2024,Bulacao River,Bulacao Bridge,D,7.903,27,30,0.82,16,42,0.422,14,10163973,High Risk
7,2024,Bulacao River,Candulawan Footbridge,D,8.009,27,10,4.81,8,43,0.141,9,3589799,High Risk
7,2024,Bulacao River,Source Bulacao River,C,8.348,27,3,7.75,8,25,0.08,6,123141,High Risk
7,2024,Butuanon River,Camboga-ong Bridge,C,7.19,26,133,0.08,86,131,1.27,31,20454104.16,High Risk
7,2024,Butuanon River,Butuanon Bridge,C,7.14,26,104,0.14,363,125,1.392,26,17892134.06,High Risk
7,2024,Butuanon River,Tingub Bridge,C,7.48,27,25,1.93,29,66,0.677,13,1750492.09,High Risk
7,2024,Butuanon River,Greenhills,C,7.74,26,31,1.33,53,93,1.101,19,872885.47,High Risk
7,2024,Butuanon River,Pilit Bridge,C,7.45,26,43,2.25,39,84,1.004,18,3871220.16,High Risk
7,2024,Butuanon River,Canduman Bridge,C,7.46,26,23,2.55,36,72,0.857,15,2698193.29,High Risk
7,2024,Butuanon River,Bacayan Bridge,C,7.47,27,15,4.93,87,81,0.617,12,1869001.44,High Risk
7,2024,Butuanon River,Sta. Lucia Bridge,C,7.33,28,4,7.35,137,81,0.131,7,107022.42,High Risk
7,2024,Butuanon River,Pulangbato Bridge,C,7.15,27,4,8.17,162,46,0.232,9,247179.24,High Risk
7,2024,Butuanon River,Candarung Bridge,C,7.36,27,2,8.14,22,49,0.061,8,35687.62,High Risk
7,2024,Butuanon River,Binaliw II,C,7.04,27,4,9.94,15,25,0.224,10,53196.06,High Risk
7,2024,Cotcot River,Cotcot Bridge,A,7.955,28,3,5.53,22,9372,0.047,9,28811,Low Risk
7,2024,Cotcot River,Tamiao Purok Gemelina,A,7.999,28,5,5.89,27,5579,0.067,11,9426,Low Risk
7,2024,Cotcot River,Tamiao 2 Purok Acacia,A,8.363,28,7,8.49,38,19,0.666,15,9620,Low Risk
7,2024,Cotcot River,Cabadingan Compostela,A,8.159,27,3,7.79,50,20,0.061,10,11972,Low Risk
7,2024,Can-asujan River,San Isidro Spillway,C,8,29,4,6.58,1680,246,0.058,6,25183,High Risk
7,2024,Can-asujan River,Valladolid Bridge,C,8.412,29,3,8.46,2048,16,0.061,8,35919,High Risk
7,2024,Can-asujan River,Boundary Liburon Can-assujan Bridge,B,8.181,29,4,7.2,3195,21,0.045,6,31364,Low Risk
7,2024,Can-asujan River,Ilaya Bridge,B,8.21,29,3,7.2,1909,18,0.054,8,11813,Low Risk
7,2024,Guadalupe River,Topaz Bridge,C,8.004,27,69,0.08,28,133,1.793,28,16980194,High Risk
7,2024,Guadalupe River,Sanciangko Bridge,C,8.01,27,74,0.04,31,133,1.741,26,11303987,High Risk
7,2024,Guadalupe River,B. Rodriguez Bridge,C,8.022,27,66,0.25,20,135,1.564,21,14421339,High Risk
7,2024,Guadalupe River,Sandayong Bridge,B,7.984,27,9,4.72,25,47,0.631,14,412039,High Risk
7,2024,Luyang River,Luyang Bridge,C,7.838,27,35,4.61,26,2140,0.106,17,22673,Low Risk
7,2024,Luyang River,Obayong Footbridge,A,8.107,26,27,6.05,23,107,0.142,9,55804,Low Risk
7,2024,Luyang River,Cantipay Spillway,A,7.997,26,3,9.37,71,24,0.025,5,11611,Low Risk
7,2024,Luyang River,Cantumog Spillway,A,8.069,26,3,8.23,17,17,0.016,5,131491,Low Risk
7,2024,Mananga River,Lawaan II Bridge,A,7.938,26,31,1.68,26,174,1.786,44,4481520,Low Risk
